active_dim_1,active_dim_2,c,epochs,final_train_mse,final_val_mse,init_method,inp_dim,linear_readout,lmda,load_model,lr,model_path,model_scaling,n_train1,n_train2,one_task,overlap_bool,pretrain_overlap,same_signs,save_path,scaling,seed,threshold,w_scaling
40,5,1e-05,100000,1.0001290073891056e-10,0.0012299241498112,complex,1000,False,-1e-05,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024,128,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=128--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-1e-05--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,5,1e-05,100000,9.997718625198715e-11,0.0008437135838903,complex,1000,False,-8.5e-06,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024,128,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=128--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-8.5e-06--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,5,1e-05,100000,1.2868513366015575e-08,4.953889856551541e-06,complex,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024,256,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=256--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,5,1e-05,100000,2.8759242098885813e-08,1.3056474017503206e-06,complex,1000,False,-1e-05,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024,256,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=256--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-1e-05--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,5,1e-05,100000,1.928057002942296e-08,1.4342103895614855e-06,complex,1000,False,-8.5e-06,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024,256,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=256--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-8.5e-06--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,10,1e-05,100000,9.51423800854556e-11,1.2542535066604614,complex,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024,16,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=16--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,10,1e-05,100000,9.075148271753264e-11,1.2574477195739746,complex,1000,False,-1e-05,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024,16,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=16--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-1e-05--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,10,1e-05,100000,9.25999832368518e-11,1.2569624185562134,complex,1000,False,-8.5e-06,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024,16,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=16--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-8.5e-06--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,10,1e-05,100000,9.793708899419328e-11,1.713727593421936,complex,1000,False,0.0,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024,32,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=32--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,10,1e-05,100000,9.7387660435988e-11,1.865297079086304,complex,1000,False,-1e-05,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024,32,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=32--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-1e-05--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
40,10,1e-05,100000,9.805549427976956e-11,1.8240786790847776,complex,1000,False,-8.5e-06,True,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024,32,True,no,0,True,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=32--overlap_bool=no--w_scaling=1.0--same_signs=True--lmda=-8.5e-06--c=1e-05--init_method=complex--load_model=True--linear_readout=False/,0.001,0,1e-10,1.0
