active_dim_1,active_dim_2,c,epochs,final_train_mse,final_val_mse,init_method,inp_dim,linear_readout,lmda,load_model,lr,model_path,model_scaling,n_train1,n_train2,one_task,pretrain_overlap,same_signs,save_path,scaling,seed,threshold,w_scaling
40.0,40.0,1e-05,1000000.0,9.810638412766082e-11,1.7703126668930054,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,5.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=32--pretrain_overlap=5/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.845381454542944e-11,1.9825738668441768,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,5.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=32--pretrain_overlap=5/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.781209175940828e-11,1.9204037189483645,complex,1000.0,0.0,-8.5e-06,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,5.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=32--pretrain_overlap=5/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.904137926453059e-11,1.0941538810729978,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,20.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=32--pretrain_overlap=20/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.970779063506183e-11,1.177717924118042,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,20.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=32--pretrain_overlap=20/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.839133674471867e-11,1.1551882028579712,complex,1000.0,0.0,-8.5e-06,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,20.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=32--pretrain_overlap=20/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.841717024672292e-11,1.0406470298767092,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,30.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=32--pretrain_overlap=30/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.869063205547588e-11,1.1174849271774292,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,30.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=32--pretrain_overlap=30/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.912374393516996e-11,1.0877619981765747,complex,1000.0,0.0,-8.5e-06,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,30.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=32--pretrain_overlap=30/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.985068327722502e-11,0.3824974000453949,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,40.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=32--pretrain_overlap=40/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.96796464813876e-11,0.3822643160820007,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,40.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=32--pretrain_overlap=40/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,1.001539545741892e-10,0.3822759687900543,complex,1000.0,0.0,-8.5e-06,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,40.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=32--pretrain_overlap=40/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.9029867639544e-11,1.221708059310913,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,5.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=64--pretrain_overlap=5/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.915561427487063e-11,1.2987765073776243,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,5.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=64--pretrain_overlap=5/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.91369070169057e-11,1.261523723602295,complex,1000.0,0.0,-8.5e-06,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,5.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=64--pretrain_overlap=5/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.974672476875668e-11,0.6713024377822876,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,20.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=64--pretrain_overlap=20/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.957559776729852e-11,0.6914974451065063,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,20.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=64--pretrain_overlap=20/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.919059323904024e-11,0.6889051795005798,complex,1000.0,0.0,-8.5e-06,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,20.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=64--pretrain_overlap=20/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.97508048383722e-11,0.4142407774925232,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,30.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=64--pretrain_overlap=30/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.981085402621659e-11,0.4343595802783966,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,30.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=64--pretrain_overlap=30/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.920168853039256e-11,0.4190848767757416,complex,1000.0,0.0,-8.5e-06,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,30.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=64--pretrain_overlap=30/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.990207966437127e-11,0.0001951914018718,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,40.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=64--pretrain_overlap=40/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.994392813350572e-11,1.770217568264343e-05,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,40.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=64--pretrain_overlap=40/,0.001,0.0,1e-10,1.0
