active_dim_1,active_dim_2,epochs,final_train_mse,final_val_mse,inp_dim,linear_readout,lr,model_path,model_scaling,n_train1,n_train2,one_task,overlap,save_path,scaling,seed,threshold
40,5,100000,1.8319717298709293e-08,1.7969958889807458e-06,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,256,True,5,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=256--overlap_bool=yes--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,5,100000,9.33918359313779e-11,1.6882957220077517,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,16,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=16--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,5,100000,9.749048096585612e-11,2.333545684814453,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,32,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=32--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,5,100000,9.941894529852392e-11,0.5046766400337219,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,64,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=64--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,5,100000,9.995927696682115e-11,0.0002049992035608,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,128,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=128--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,5,100000,1.5101997874467088e-08,1.3454014151648153e-06,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,256,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=256--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,5,100000,1.1334742922031182e-08,7.311051319902617e-08,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,512,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=512--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,10,100000,9.435710546235043e-11,1.5699373483657837,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,16,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=16--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,10,100000,9.809976442287648e-11,2.158135175704956,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,32,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=32--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,10,100000,9.868439398985628e-11,1.6586507558822632,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,64,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=64--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,10,100000,9.979619908229154e-11,0.0379217937588691,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,128,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=128--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,10,100000,2.230211215703548e-08,1.5706371414125897e-05,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,256,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=256--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,10,100000,3.150892879943967e-08,2.824771740961296e-07,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,512,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=10--one_task=True--n_train2=512--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,20,100000,9.183161175929655e-11,1.567393183708191,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,16,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=16--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,20,100000,9.83817957656008e-11,2.1459383964538574,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,32,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=32--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,20,100000,9.92496640428442e-11,1.598158836364746,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,64,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=64--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,20,100000,9.959733038300556e-11,0.957366406917572,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,128,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=128--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,20,100000,7.218831310495943e-09,0.000589583418332,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,256,True,0,data/diagonal/sparse_overlap/seed=0--active_dim_2=20--one_task=True--n_train2=256--overlap_bool=no--same_signs=True--w_scaling=1.0--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
