alpha,mse
0.008,0.9813799659657685
0.01802020202020202,0.9693171666788037
0.02804040404040404,0.9400477817174951
0.03806060606060606,0.8993683540093214
0.04808080808080808,0.8497069822424632
0.0581010101010101,0.793361564375954
0.06812121212121211,0.7323279264364606
0.07814141414141415,0.6680580899179603
0.08816161616161616,0.6020141203924834
0.09818181818181818,0.5355113968895941
0.10820202020202019,0.46973592770754713
0.11822222222222223,0.4061331972928228
0.12824242424242424,0.3460097561104261
0.13826262626262625,0.29031315161534643
0.1482828282828283,0.2397652882546637
0.1583030303030303,0.1948849684360904
0.16832323232323232,0.15571369040735714
0.17834343434343433,0.12223295867318036
0.18836363636363634,0.09444757582271375
0.19838383838383838,0.07204140749723602
0.2084040404040404,0.05429922325634479
0.2184242424242424,0.04043190616141313
0.22844444444444445,0.029749993823423613
0.23846464646464646,0.02173731796136675
0.24848484848484848,0.015864480445443422
0.2585050505050505,0.011598966691541607
0.2685252525252525,0.00850921379673758
0.27854545454545454,0.006277610790218147
0.2885656565656566,0.004665540065884958
0.29858585858585857,0.003496928888881059
0.3086060606060606,0.0026443405897966102
0.3186262626262626,0.0020183029530822876
0.32864646464646463,0.0015552454419123028
0.33866666666666667,0.0012097827469229596
0.34868686868686866,0.0009498048896884045
0.3587070707070707,0.00075244604729607
0.3687272727272727,0.0006012845503135044
0.3787474747474747,0.0004844718954585224
0.38876767676767676,0.0003934197361353103
0.39878787878787875,0.000321852515608339
0.4088080808080808,0.0002651457757468355
0.4188282828282828,0.0002198685009233424
0.4288484848484848,0.00018345387229529462
0.43886868686868685,0.0001539637565269545
0.4488888888888889,0.00012992291221260678
0.4589090909090909,0.0001102004174845818
0.4689292929292929,9.392332806887384e-05
0.4789494949494949,8.041315139568061e-05
0.48896969696969694,6.913890019143391e-05
0.498989898989899,5.968225412163111e-05
0.509010101010101,5.171153934833175e-05
0.519030303030303,4.4962161541911366e-05
0.529050505050505,3.922179220585498e-05
0.539070707070707,3.4319092922972297e-05
0.5490909090909091,3.0115092293616985e-05
0.5591111111111111,2.6496534589490068e-05
0.5691313131313132,2.3370687092617406e-05
0.5791515151515151,2.0661249387684543e-05
0.5891717171717171,1.8305133055232497e-05
0.5991919191919192,1.6249935795114145e-05
0.6092121212121212,1.445194466276439e-05
0.6192323232323232,1.287455576439494e-05
0.6292525252525252,1.1487001952622294e-05
0.6392727272727272,1.0263328606171746e-05
0.6492929292929293,9.181562162778328e-06
0.6593131313131313,8.22303512608266e-06
0.6693333333333333,7.371835243637559e-06
0.6793535353535353,6.614356631346211e-06
0.6893737373737373,5.9389293959042416e-06
0.6993939393939393,5.335515626921866e-06
0.7094141414141414,4.795456855221464e-06
0.7194343434343434,4.311264568695642e-06
0.7294545454545454,3.876444773812203e-06
0.7394747474747474,3.4853524822771825e-06
0.7494949494949494,3.1330681886301255e-06
0.7595151515151515,2.815295260475885e-06
0.7695353535353535,2.528271998059975e-06
0.7795555555555556,2.268698475498885e-06
0.7895757575757575,2.0336733552556986e-06
0.7995959595959595,1.820640578702255e-06
0.8096161616161616,1.6273444718281286e-06
0.8196363636363636,1.4517897919487622e-06
0.8296565656565656,1.2922095711100537e-06
0.8396767676767676,1.1470354821057855e-06
0.8496969696969696,1.0148737981201864e-06
0.8597171717171717,8.944843092380927e-07
0.8697373737373737,7.847614230300554e-07
0.8797575757575757,6.847190116637463e-07
0.8897777777777778,5.934772242014865e-07
0.8997979797979797,5.102503379369295e-07
0.9098181818181817,4.343382926409494e-07
0.9198383838383838,3.6511995803252213e-07
0.9298585858585858,3.020489400647752e-07
0.9398787878787879,2.446562518960807e-07
0.9498989898989898,1.925641988719868e-07
0.9599191919191918,1.455269219487069e-07
0.9699393939393939,1.0351469841889686e-07
0.9799595959595959,6.701197191918182e-08
0.989979797979798,3.757806682121089e-08
1.0,1.7166778747246735e-08
