alpha,mse,active_frac
0.008,0.9686891874528353,0.9996
0.01802020202020202,0.9847021978252735,0.99978
0.02804040404040404,1.0078144030607317,0.99978
0.03806060606060606,1.0281948256181872,0.99982
0.04808080808080808,1.029629325327838,0.99988
0.0581010101010101,1.006812696253984,0.99988
0.06812121212121211,0.9676933988622033,0.99988
0.07814141414141415,0.9207014503813503,0.99986
0.08816161616161616,0.8707560165900209,0.9999
0.09818181818181818,0.820224006801798,0.9999
0.10820202020202019,0.7701216640266194,0.9999
0.11822222222222223,0.7208908950742486,0.9999
0.12824242424242424,0.6727157295919828,0.9999
0.13826262626262625,0.6255834469109808,0.9999
0.1482828282828283,0.5794175094273514,0.9999
0.1583030303030303,0.534241738627611,0.9999
0.16832323232323232,0.49021442468655524,0.99988
0.17834343434343433,0.4475504660878865,0.9999
0.18836363636363634,0.406451513281752,0.99988
0.19838383838383838,0.3670769479531019,0.9999
0.2084040404040404,0.32955997111737256,0.99988
0.2184242424242424,0.2940260952179486,0.9999
0.22844444444444445,0.2606101229184123,0.9999
0.23846464646464646,0.2294421737539617,0.9999
0.24848484848484848,0.2005579938300673,0.9999
0.2585050505050505,0.1739309892210179,0.9999
0.2685252525252525,0.14956338996901036,0.9999
0.27854545454545454,0.1274871729328336,0.9999
0.2885656565656566,0.10768987249189149,0.9999
0.29858585858585857,0.09007797790857767,0.9999
0.3086060606060606,0.07454323363321062,0.9999
0.3186262626262626,0.06100549750388916,0.9999
0.32864646464646463,0.0494128007822161,0.9999
0.33866666666666667,0.03967499010310667,0.9999
0.34868686868686866,0.031626309352653884,0.9999
0.3587070707070707,0.02506376127849134,0.9999
0.3687272727272727,0.019770899663072432,0.9999
0.3787474747474747,0.01554590538363688,0.9999
0.38876767676767676,0.012204923325752884,0.9999
0.39878787878787875,0.009579864430123335,0.9999
0.4088080808080808,0.007527616830061945,0.9999
0.4188282828282828,0.005929280644518518,0.9999
0.4288484848484848,0.0046857076680279575,0.9999
0.43886868686868685,0.003717956619255494,0.9999
0.4488888888888889,0.002963974477227471,0.9999
0.4589090909090909,0.002375006276321535,0.9999
0.4689292929292929,0.001913218138430053,0.9999
0.4789494949494949,0.0015495882309521187,0.9999
0.48896969696969694,0.0012618439742968972,0.9999
0.498989898989899,0.0010329424253521778,0.9999
0.509010101010101,0.0008499429171119012,0.9999
0.519030303030303,0.0007029215965597713,0.9999
0.529050505050505,0.0005842010986934441,0.9999
0.539070707070707,0.0004878425521811765,0.9999
0.5490909090909091,0.0004092459433086744,0.9999
0.5591111111111111,0.000344826681716597,0.9999
0.5691313131313132,0.0002917750562345284,0.9999
0.5791515151515151,0.0002478795724159495,0.9999
0.5891717171717171,0.000211392791852969,0.9999
0.5991919191919192,0.00018092826791952135,0.9999
0.6092121212121212,0.000155381334250942,0.99988
0.6192323232323232,0.00013386810475116926,0.99988
0.6292525252525252,0.0001156782900440628,0.99988
0.6392727272727272,0.00010023860921189715,0.99988
0.6492929292929293,8.708432732545516e-05,0.99988
0.6593131313131313,7.583706145563398e-05,0.99988
0.6693333333333333,6.618742276030301e-05,0.99988
0.6793535353535353,5.788137234023804e-05,0.99988
0.6893737373737373,5.070947784937141e-05,0.99988
0.6993939393939393,4.4498391113749263e-05,0.99988
0.7094141414141414,3.9104086279181055e-05,0.99986
0.7194343434343434,3.440644722673162e-05,0.99984
0.7294545454545454,3.030494203822162e-05,0.99984
0.7394747474747474,2.6715129710901448e-05,0.99984
0.7494949494949494,2.3565847110722947e-05,0.99982
0.7595151515151515,2.0796924202300483e-05,0.99982
0.7695353535353535,1.8357321594936364e-05,0.99982
0.7795555555555556,1.6203614394837724e-05,0.9998
0.7895757575757575,1.4298746595817263e-05,0.9998
0.7995959595959595,1.261100433454419e-05,0.9998
0.8096161616161616,1.1113171573485344e-05,0.9998
0.8196363636363636,9.781830815397573e-06,0.9998
0.8296565656565656,8.596778821837404e-06,0.99978
0.8396767676767676,7.540543608216035e-06,0.99978
0.8496969696969696,6.597977887842485e-06,0.99974
0.8597171717171717,5.755919242301887e-06,0.9997
0.8697373737373737,5.002906014899056e-06,0.9997
0.8797575757575757,4.328933397201671e-06,0.99966
0.8897777777777778,3.7252528447013426e-06,0.99964
0.8997979797979797,3.1841980019351386e-06,0.99962
0.9098181818181817,2.6990387549088326e-06,0.9996
0.9198383838383838,2.263857313549052e-06,0.99958
0.9298585858585858,1.873446137332786e-06,0.99954
0.9398787878787879,1.5232264193233145e-06,0.99944
0.9498989898989898,1.2092141051404762e-06,0.99934
0.9599191919191918,9.280493863317407e-07,0.99928
0.9699393939393939,6.774099737351104e-07,0.99908
0.9799595959595959,4.574409604240612e-07,0.99894
0.989979797979798,2.746137536385247e-07,0.99862
1.0,1.392365116910134e-07,0.99814
