alpha,mse
0.008,0.9810573075372164
0.01802020202020202,0.971125088211301
0.02804040404040404,0.9442871118949031
0.03806060606060606,0.9039967292694882
0.04808080808080808,0.8537799538851132
0.0581010101010101,0.796784513081929
0.06812121212121211,0.7356696608752188
0.07814141414141415,0.6725600831139543
0.08816161616161616,0.609024475661766
0.09818181818181818,0.5463389890961654
0.10820202020202019,0.48543694012911176
0.11822222222222223,0.426703914271274
0.12824242424242424,0.37045271326889045
0.13826262626262625,0.31716400414258566
0.1482828282828283,0.2673638813051518
0.1583030303030303,0.22176473357748833
0.16832323232323232,0.18108436502498812
0.17834343434343433,0.14544770777378543
0.18836363636363634,0.11459078592530617
0.19838383838383838,0.08857828143248073
0.2084040404040404,0.06732790722368132
0.2184242424242424,0.05038651558275246
0.22844444444444445,0.03722145010551026
0.23846464646464646,0.027295525407236697
0.24848484848484848,0.01994636728882467
0.2585050505050505,0.01454518715174034
0.2685252525252525,0.010618059501487462
0.27854545454545454,0.0077825997901154985
0.2885656565656566,0.005739896168578374
0.29858585858585857,0.004267593868314301
0.3086060606060606,0.003203332378192916
0.3186262626262626,0.002429014713022953
0.32864646464646463,0.0018607585769036528
0.33866666666666667,0.0014397745074709656
0.34868686868686866,0.0011247605416584614
0.3587070707070707,0.0008867526302151241
0.3687272727272727,0.0007052892811524874
0.3787474747474747,0.0005657003843554302
0.38876767676767676,0.0004573889107595581
0.39878787878787875,0.00037264110891945483
0.4088080808080808,0.00030579255306197565
0.4188282828282828,0.00025265009784861906
0.4288484848484848,0.00021008592915123256
0.43886868686868685,0.0001757491221639517
0.4488888888888889,0.00014785922961460592
0.4589090909090909,0.00012505770439089956
0.4689292929292929,0.00010630032385666808
0.4789494949494949,9.077875932381558e-05
0.48896969696969694,7.786290796420186e-05
0.498989898989899,6.705833171729672e-05
0.509010101010101,5.797463550008456e-05
0.519030303030303,5.0301655042212954e-05
0.529050505050505,4.3791367970107036e-05
0.539070707070707,3.824419560893466e-05
0.5490909090909091,3.349861455604493e-05
0.5591111111111111,2.9423211767476584e-05
0.5691313131313132,2.591054387585762e-05
0.5791515151515151,2.2872354558675795e-05
0.5891717171717171,2.0235822188492292e-05
0.5991919191919192,1.7940599380847507e-05
0.6092121212121212,1.593646833302831e-05
0.6192323232323232,1.4181472549422148e-05
0.6292525252525252,1.2640421238566609e-05
0.6392727272727272,1.1283689079130572e-05
0.6492929292929293,1.0086246342507606e-05
0.6593131313131313,9.026873251924588e-06
0.6693333333333333,8.08751953160752e-06
0.6793535353535353,7.252782478730521e-06
0.6893737373737373,6.509478097634082e-06
0.6993939393939393,5.8462873053134465e-06
0.7094141414141414,5.253464857225526e-06
0.7194343434343434,4.7225973376868635e-06
0.7294545454545454,4.246401190861167e-06
0.7394747474747474,3.818555491250306e-06
0.7494949494949494,3.4335603818425083e-06
0.7595151515151515,3.086619634928085e-06
0.7695353535353535,2.7735402860339974e-06
0.7795555555555556,2.490649211579955e-06
0.7895757575757575,2.234721110554801e-06
0.7995959595959595,2.002918783099997e-06
0.8096161616161616,1.792740362839822e-06
0.8196363636363636,1.601976418006019e-06
0.8296565656565656,1.4286715805936776e-06
0.8396767676767676,1.2710923631740794e-06
0.8496969696969696,1.1276995032334692e-06
0.8597171717171717,9.971237348577177e-07
0.8697373737373737,8.781452027787485e-07
0.8797575757575757,7.696763199695926e-07
0.8897777777777778,6.707459501565112e-07
0.8997979797979797,5.804871983523501e-07
0.9098181818181817,4.981269996474811e-07
0.9198383838383838,4.2298026057237996e-07
0.9298585858585858,3.5444741802713836e-07
0.9398787878787879,2.9202286645177176e-07
0.9498989898989898,2.3532103204071897e-07
0.9599191919191918,1.841365672633807e-07
0.9699393939393939,1.3855957488654966e-07
0.9799595959595959,9.912163394170595e-08
0.989979797979798,6.678859302661455e-08
1.0,4.235488943839053e-08
