alpha_pt,omega,alpha,mse_best,source
0.01,1.0,0.01,1.0731769048830606,imperfect_pt
0.01,1.0,0.01830508474576271,1.0802862208447417,imperfect_pt
0.01,1.0,0.02661016949152542,1.0777930403366058,imperfect_pt
0.01,1.0,0.03491525423728813,1.0696195283665524,imperfect_pt
0.01,1.0,0.043220338983050846,1.0573882478837688,imperfect_pt
0.01,1.0,0.05152542372881356,1.04191541809971,imperfect_pt
0.01,1.0,0.059830508474576265,1.0237387321762605,imperfect_pt
0.01,1.0,0.06813559322033898,1.0033096039071407,imperfect_pt
0.01,1.0,0.07644067796610168,0.9810162775504739,imperfect_pt
0.01,1.0,0.08474576271186439,0.9571815810432206,imperfect_pt
0.01,1.0,0.09305084745762711,0.9320690408543686,imperfect_pt
0.01,1.0,0.10135593220338981,0.9058885186373422,imperfect_pt
0.01,1.0,0.10966101694915252,0.878807745554649,imperfect_pt
0.01,1.0,0.11796610169491524,0.8509749950087766,imperfect_pt
0.01,1.0,0.12627118644067795,0.8225351701366214,imperfect_pt
0.01,1.0,0.13457627118644067,0.7936275345782309,imperfect_pt
0.01,1.0,0.14288135593220339,0.7643768102053143,imperfect_pt
0.01,1.0,0.1511864406779661,0.7348894651866327,imperfect_pt
0.01,1.0,0.1594915254237288,0.705257407492408,imperfect_pt
0.01,1.0,0.16779661016949152,0.6755656393421463,imperfect_pt
0.01,1.0,0.17610169491525424,0.645897755622943,imperfect_pt
0.01,1.0,0.18440677966101693,0.616336826554634,imperfect_pt
0.01,1.0,0.19271186440677965,0.5869629681755624,imperfect_pt
0.01,1.0,0.20101694915254237,0.5578505115006817,imperfect_pt
0.01,1.0,0.20932203389830506,0.5290675655235865,imperfect_pt
0.01,1.0,0.21762711864406778,0.5006792787805848,imperfect_pt
0.01,1.0,0.2259322033898305,0.47275084853112265,imperfect_pt
0.01,1.0,0.23423728813559322,0.4453476462062285,imperfect_pt
0.01,1.0,0.2425423728813559,0.4185340326006329,imperfect_pt
0.01,1.0,0.25084745762711863,0.3923722642147871,imperfect_pt
0.01,1.0,0.2591525423728813,0.3669206655799152,imperfect_pt
0.01,1.0,0.26745762711864407,0.34223261498119323,imperfect_pt
0.01,1.0,0.27576271186440676,0.31835497105783284,imperfect_pt
0.01,1.0,0.28406779661016945,0.2953279290152574,imperfect_pt
0.01,1.0,0.2923728813559322,0.2731884689101452,imperfect_pt
0.01,1.0,0.3006779661016949,0.2519710684496375,imperfect_pt
0.01,1.0,0.3089830508474576,0.23170474356977006,imperfect_pt
0.01,1.0,0.31728813559322033,0.2124110566340957,imperfect_pt
0.01,1.0,0.325593220338983,0.19410919687961098,imperfect_pt
0.01,1.0,0.3338983050847457,0.17681918589590875,imperfect_pt
0.01,1.0,0.34220338983050846,0.16055250164288093,imperfect_pt
0.01,1.0,0.35050847457627116,0.14530632006831506,imperfect_pt
0.01,1.0,0.35881355932203385,0.13106949262836065,imperfect_pt
0.01,1.0,0.3671186440677966,0.11783152166377081,imperfect_pt
0.01,1.0,0.3754237288135593,0.10558345990571766,imperfect_pt
0.01,1.0,0.383728813559322,0.09430841718263781,imperfect_pt
0.01,1.0,0.3920338983050847,0.08397519850937565,imperfect_pt
0.01,1.0,0.4003389830508474,0.07454421326112916,imperfect_pt
0.01,1.0,0.4086440677966101,0.06597412988079288,imperfect_pt
0.01,1.0,0.41694915254237286,0.05822415848788546,imperfect_pt
0.01,1.0,0.42525423728813555,0.051252060938960314,imperfect_pt
0.01,1.0,0.4335593220338983,0.0450104582030103,imperfect_pt
0.01,1.0,0.441864406779661,0.03944528252603285,imperfect_pt
0.01,1.0,0.4501694915254237,0.034499761127487184,imperfect_pt
0.01,1.0,0.45847457627118643,0.030119481517630487,imperfect_pt
0.01,1.0,0.4667796610169491,0.026253953955393962,imperfect_pt
0.01,1.0,0.4750847457627118,0.022855807508081194,imperfect_pt
0.01,1.0,0.48338983050847456,0.01987949946878763,imperfect_pt
0.01,1.0,0.49169491525423725,0.017281187055660747,imperfect_pt
0.01,1.0,0.5,0.015019012093902648,imperfect_pt
0.5,1.0,0.01,0.9217133253866072,imperfect_pt
0.5,1.0,0.01830508474576271,0.8465099155684864,imperfect_pt
0.5,1.0,0.02661016949152542,0.7726124739437207,imperfect_pt
