pt_mode,alpha_pt,sigma0_pt,alpha_ft,alpha_ft_req,seed,inp_dim,rho_pt,rho_ft,omega,emp_omega,c_pt,lambda_pt,gamma_reinit,a_pt,n_train_pt,n_train_ft,pt_param_mse,pt_stop,pt_epoch,ft_param_mse,ft_pred_mse,ft_stop,ft_epoch,wall_s
underdetermined,0.2,0.0,0.05,0.05,0,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,200,50,0.0696603099848463,train_pred_mse,18000,1.0582047086389064,1.057036783888549,train_pred_mse,2000,8.870702266693115
underdetermined,0.2,0.0,0.05,0.05,1,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,200,50,0.0724991051707532,train_pred_mse,18000,1.0201866194691265,1.038890137895101,train_pred_mse,2000,6.3258280754089355
underdetermined,0.2,0.0,0.05,0.05,2,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,200,50,0.0770651512194802,train_pred_mse,18000,0.9516999362993857,0.9398088246356908,train_pred_mse,2000,6.341158151626587
underdetermined,0.2,0.0,0.1,0.1,0,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,200,100,0.0696603099848463,train_pred_mse,18000,0.8525730491081761,0.8464128926004578,train_pred_mse,2000,6.491676092147827
underdetermined,0.2,0.0,0.1,0.1,1,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,200,100,0.0724991051707532,train_pred_mse,18000,0.7986717845543221,0.8071521788712432,train_pred_mse,4000,6.933161020278931
underdetermined,0.2,0.0,0.1,0.1,2,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,200,100,0.0770651512194802,train_pred_mse,18000,0.7337205866984965,0.7251109912092701,train_pred_mse,4000,6.856783866882324
underdetermined,0.2,0.0,0.15,0.15,0,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,200,150,0.0696603099848463,train_pred_mse,18000,0.643559615616304,0.6398613384016176,train_pred_mse,4000,6.981287956237793
underdetermined,0.2,0.0,0.15,0.15,1,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,200,150,0.0724991051707532,train_pred_mse,18000,0.6196259512286512,0.6285417613473747,train_pred_mse,6000,7.585445165634155
underdetermined,0.2,0.0,0.15,0.15,2,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,200,150,0.0770651512194802,train_pred_mse,18000,0.5660868528724495,0.553435369603411,train_pred_mse,4000,7.051864147186279
noisy,1.0,0.01,0.05,0.05,0,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,50,0.0001272024912022,train_pred_mse,28000,0.7104242894178099,0.6934888718739685,train_pred_mse,2000,24.620381832122803
noisy,1.0,0.01,0.05,0.05,1,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,50,0.0001445238401438,train_pred_mse,32000,0.6462996079377804,0.6497581416560985,train_pred_mse,2000,25.543224811553955
noisy,1.0,0.01,0.05,0.05,2,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,50,0.0001511058032224,train_pred_mse,30000,0.5876245050658355,0.5911225285055911,train_pred_mse,2000,23.606251001358032
noisy,1.0,0.01,0.1,0.1,0,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,100,0.0001272024912022,train_pred_mse,28000,0.2101430578157683,0.2054237557594226,train_pred_mse,6000,23.88704800605774
noisy,1.0,0.01,0.1,0.1,1,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,100,0.0001445238401438,train_pred_mse,32000,0.1930058589233782,0.1918450142147342,train_pred_mse,4000,25.207751989364624
noisy,1.0,0.01,0.1,0.1,2,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,100,0.0001511058032224,train_pred_mse,30000,0.140103690359083,0.1375238656731455,train_pred_mse,4000,26.415990829467773
noisy,1.0,0.01,0.15,0.15,0,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,150,0.0001272024912022,train_pred_mse,28000,0.0254913628982882,0.0252439011398075,train_pred_mse,6000,22.956787109375
noisy,1.0,0.01,0.15,0.15,1,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,150,0.0001445238401438,train_pred_mse,32000,0.0489035223787137,0.0497591708052823,train_pred_mse,6000,32.473819971084595
noisy,1.0,0.01,0.15,0.15,2,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,150,0.0001511058032224,train_pred_mse,30000,0.0268774020308081,0.0265924559092047,train_pred_mse,6000,36.59616589546203
underdetermined,0.2,0.0,0.05,0.05,0,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,200,50,0.0696603099848463,train_pred_mse,18000,1.2490126323762554,1.247342698375461,train_pred_mse,2000,8.227918148040771
