label,solver,omega,alpha_pt,sigma0_pt,alpha,mse_best,mse_fwd,mse_bwd,diff_db,fp_residual,reliability_db,s2_pt,gp_pt
w1.0_apt0.01,imperfect,1.0,0.01,0.0,0.01,1.126865060584114e-12,1.126865060584114e-12,1.1426790728828407,120.06052360322673,9.998805914965934e-05,102.7562590800581,10.691764638189047,2.6607284392658497
w1.0_apt0.01,imperfect,1.0,0.01,0.0,0.035789473684210524,1.1529271748409982,1.1529271920176638,1.1529271748409982,6.470253477441901e-08,9.084556209160155e-05,102.7562590800581,10.691764638189047,2.6607284392658497
w1.0_apt0.01,imperfect,1.0,0.01,0.0,0.06157894736842105,1.1090265489549007,1.1090286915878935,1.1090265489549007,8.390536615277e-06,8.953128152811018e-05,102.7562590800581,10.691764638189047,2.6607284392658497
w1.0_apt0.01,imperfect,1.0,0.01,0.0,0.08736842105263157,1.040538731672216,1.0405440479657522,1.040538731672216,2.218880449625371e-05,9.754704592701557e-05,102.7562590800581,10.691764638189047,2.6607284392658497
w1.0_apt0.01,imperfect,1.0,0.01,0.0,0.1131578947368421,0.9561700123884861,0.9561801998924495,0.9561700123884861,4.6271616227083756e-05,9.358006204251978e-05,102.7562590800581,10.691764638189047,2.6607284392658497
w1.0_apt0.01,imperfect,1.0,0.01,0.0,0.13894736842105262,0.8601763044737274,0.860193793566916,0.8601763044737274,8.829979867974735e-05,8.931852821714159e-05,102.7562590800581,10.691764638189047,2.6607284392658497
w1.0_apt0.01,imperfect,1.0,0.01,0.0,0.16473684210526315,0.7580746782211594,0.758103044535197,0.7580746782211594,0.00016250514006355132,9.448025544056549e-05,102.7562590800581,10.691764638189047,2.6607284392658497
w1.0_apt0.01,imperfect,1.0,0.01,0.0,0.19052631578947368,0.6551007221548534,0.6551414372966354,0.6551007221548534,0.00026990982215013837,9.872040438629881e-05,102.7562590800581,10.691764638189047,2.6607284392658497
w1.0_apt0.01,imperfect,1.0,0.01,0.0,0.2,0.6182281342335335,0.6182753939631354,0.6182281342335335,0.0003319786692763671,9.900390682959781e-05,102.7562590800581,10.691764638189047,2.6607284392658497
w1.0_apt0.01,imperfect,1.0,0.01,0.0,0.2163157894736842,0.5569265504273186,0.5569850461471688,0.5569265504273186,0.0004561289863103113,9.793275168012983e-05,102.7562590800581,10.691764638189047,2.6607284392658497
w1.0_apt0.01,imperfect,1.0,0.01,0.0,0.24210526315789474,0.4669037784499322,0.46698108124178345,0.4669037784499322,0.0007189789119070866,9.69094861429376e-05,102.7562590800581,10.691764638189047,2.6607284392658497
w1.0_apt0.01,imperfect,1.0,0.01,0.0,0.26789473684210524,0.38594364504471057,0.38604540215068295,0.38594364504471057,0.0011449009551300904,9.841857694259382e-05,102.7562590800581,10.691764638189047,2.6607284392658497
w1.0_apt0.01,imperfect,1.0,0.01,0.0,0.29368421052631577,0.31415913528477696,0.31429191052607763,0.31415913528477696,0.0018351009477228786,9.976745148665422e-05,102.7562590800581,10.691764638189047,2.6607284392658497
w1.0_apt0.01,imperfect,1.0,0.01,0.0,0.3,0.2979859410739823,0.29812609107263605,0.2979859410739823,0.002042111847879724,9.777909037900212e-05,102.7562590800581,10.691764638189047,2.6607284392658497
