rho_pt,rho_ft,omega,c_pt,lambda_pt,gamma_reinit,seed,ft_teacher_norm,alpha,mse_best,active_best,mse_fwd,mse_bwd,diff_db,fp_residual,mse_se,mse_rel_se,mse_se_db,reliability_score_db,rho_pt_emp,rho_ft_emp
0.1,0.01,0.0,0.001,0.0,0.0,0,unit_total_var,0.01,1.0733471551854117,0.9995375,1.0733471551854117,1.0733471553812122,7.922420497408211e-10,8.59514869944178e-07,0.06628414801215532,0.0617546221573628,0.2681969163496295,0.7662082422721804,0.1018875,0.009675
0.1,0.01,0.0,0.001,0.0,0.0,0,unit_total_var,0.016202531645569618,1.1484588022261546,0.9995875,1.1484588132962872,1.1484588022261546,4.186216751023153e-08,8.429674664967024e-07,0.06641154487803147,0.05782666713799432,0.25113802444887035,0.7662082422721804,0.1018875,0.009675
0.1,0.01,0.0,0.001,0.0,0.0,0,unit_total_var,0.02240506329113924,1.2269469479732875,0.9996375,1.2269469564218052,1.2269469479732875,2.9904671072777944e-08,9.361870496604752e-07,0.06587984237103503,0.053694124656210734,0.23319062048817654,0.7662082422721804,0.1018875,0.009675
0.1,0.01,0.0,0.001,0.0,0.0,0,unit_total_var,0.028607594936708863,1.2979897957974005,0.9996625,1.2979898012326272,1.2979897957974005,1.818572803458096e-08,9.257914612703644e-07,0.06370841189655052,0.04908236729042405,0.21316201272979826,0.7662082422721804,0.1018875,0.009675
0.1,0.01,0.0,0.001,0.0,0.0,0,unit_total_var,0.03481012658227848,1.3473242932985934,0.9997,1.3473244092680177,1.3473242932985934,3.7381407791414745e-07,8.519945113860672e-07,0.06013755102516606,0.04463480048885187,0.19384647553160933,0.7662082422721804,0.1018875,0.009675
0.1,0.01,0.0,0.001,0.0,0.0,0,unit_total_var,0.0410126582278481,1.3618149487299127,0.9997375,1.3618149524072656,1.3618149487299127,1.1727394166882732e-08,9.626351911151687e-07,0.05592024102734867,0.04106302481075148,0.17833445085565688,0.7662082422721804,0.1018875,0.009675
0.1,0.01,0.0,0.001,0.0,0.0,0,unit_total_var,0.047215189873417725,1.3362861847361125,0.9997625,1.336286216741802,1.3362861847361125,1.0401884242838833e-07,8.436677525480719e-07,0.05122948551473055,0.038337211070431934,0.16649639219448845,0.7662082422721804,0.1018875,0.009675
0.1,0.01,0.0,0.001,0.0,0.0,0,unit_total_var,0.05341772151898734,1.2765148406769191,0.9997875,1.2765149069421895,1.2765148406769191,2.2544697086956944e-07,9.949789969709857e-07,0.04623762777961051,0.03622177064160985,0.15730915114416366,0.7662082422721804,0.1018875,0.009675
0.1,0.01,0.0,0.001,0.0,0.0,0,unit_total_var,0.05962025316455696,1.1935539032366151,0.9997875,1.1935539969215962,1.1935539032366151,3.408884067246376e-07,9.156376208352414e-07,0.04125415249920987,0.03456413018912601,0.15011011012923026,0.7662082422721804,0.1018875,0.009675
0.1,0.01,0.0,0.001,0.0,0.0,0,unit_total_var,0.06582278481012659,1.0977672488274606,0.9998,1.0977673707358218,1.0977672488274606,4.8228917082227e-07,9.303947621219776e-07,0.03648988138005554,0.033240089298556555,0.14435987360334446,0.7662082422721804,0.1018875,0.009675
