rho_pt,rho_ft,omega,c_pt,lambda_pt,gamma_reinit,seed,ft_teacher_norm,alpha,mse_best,active_best,mse_fwd,mse_bwd,diff_db,fp_residual,mse_se,mse_rel_se,mse_se_db,reliability_score_db,rho_pt_emp,rho_ft_emp
0.1,0.1,0.0,1.0,0.0,0.0,0,unit_total_var,0.01,1.0055667532433221,0.9999875,1.0055667532433221,1.0055667532495491,2.6893886423406954e-11,9.655582857703848e-07,0.01746747357170536,0.017370774754998958,0.07544031622480359,0.29852617435667744,0.0988625,0.101325
0.1,0.1,0.0,1.0,0.0,0.0,0,unit_total_var,0.016202531645569618,0.9996484975668888,0.9999875,0.9996484976843224,0.9996484975668888,5.101860919409089e-10,9.477759590481585e-07,0.017228940775407414,0.017234998919462268,0.0748506492633097,0.29852617435667744,0.0988625,0.101325
0.1,0.1,0.0,1.0,0.0,0.0,0,unit_total_var,0.02240506329113924,0.9937069867849077,0.9999875,0.993706986981342,0.9937069867849077,8.585064568966683e-10,7.955021601446788e-07,0.016998079551072298,0.01710572611154601,0.07428922459192798,0.29852617435667744,0.0988625,0.101325
0.1,0.1,0.0,1.0,0.0,0.0,0,unit_total_var,0.028607594936708863,0.9877436441992429,0.9999875,0.9877436445848332,0.9877436441992429,1.6953757217552654e-09,9.99677496338336e-07,0.016772236995125266,0.01698035425854084,0.0737447415524667,0.29852617435667744,0.0988625,0.101325
0.1,0.1,0.0,1.0,0.0,0.0,0,unit_total_var,0.03481012658227848,0.9817577296126976,0.9999875,0.9817577301109818,0.9817577296126976,2.204230922786543e-09,7.762117917309297e-07,0.01655011844272922,0.016857640070996157,0.07321180060744772,0.29852617435667744,0.0988625,0.101325
0.1,0.1,0.0,1.0,0.0,0.0,0,unit_total_var,0.0410126582278481,0.9757477235325304,0.9999875,0.9757477242738458,0.9757477235325304,3.299513301469048e-09,8.392970443082959e-07,0.01633096187964518,0.016736869055171032,0.07268729874998067,0.29852617435667744,0.0988625,0.101325
0.1,0.1,0.0,1.0,0.0,0.0,0,unit_total_var,0.047215189873417725,0.9697117834510242,0.9999875,0.9697117845532904,0.9697117834510242,4.936602016059055e-09,9.417898922947643e-07,0.01611426605131875,0.01661758300386025,0.07216924601145769,0.29852617435667744,0.0988625,0.101325
0.1,0.1,0.0,1.0,0.0,0.0,0,unit_total_var,0.05341772151898734,0.9636479361747056,0.9999875,0.963647937423158,0.9636479361747056,5.6264953252060926e-09,8.277979191007034e-07,0.015899676215302708,0.01649946585100159,0.0716562697344113,0.29852617435667744,0.0988625,0.101325
0.1,0.1,0.0,1.0,0.0,0.0,0,unit_total_var,0.05962025316455696,0.9575541724205084,0.9999875,0.9575541742736564,0.9575541724205084,8.404871049139118e-09,9.768636033413711e-07,0.015686928298282832,0.016382288073195236,0.07114737311138146,0.29852617435667744,0.0988625,0.101325
0.1,0.1,0.0,1.0,0.0,0.0,0,unit_total_var,0.06582278481012659,0.9514285011114308,0.9999875,0.9514285032137629,0.9514285011114308,9.59642548759021e-09,8.963036250975166e-07,0.01547581865988948,0.016265876670512897,0.07064180481322589,0.29852617435667744,0.0988625,0.101325
0.1,0.1,0.0,1.0,0.0,0.0,0,unit_total_var,0.0720253164556962,0.9452689803981268,1.0,0.9452689831284194,0.9452689803981268,1.254405901374156e-08,8.362054515487216e-07,0.015266186305651288,0.01615009761477786,0.07013898276296893,0.29852617435667744,0.0988625,0.101325
0.1,0.1,0.0,1.0,0.0,0.0,0,unit_total_var,0.07822784810126583,0.9390737399198892,1.0,0.9390737430208292,0.9390737399198892,1.4340951537406001e-08,7.911831758633525e-07,0.015057901875992322,0.01603484501363746,0.06963844707596624,0.29852617435667744,0.0988625,0.101325
0.1,0.1,0.0,1.0,0.0,0.0,0,unit_total_var,0.08443037974683544,0.9328409952912688,1.0,0.9328409993088232,0.9328409952912688,1.8704169990613195e-08,9.847915976024522e-07,0.014850860418919696,0.015920034061413308,0.06913982944583615,0.29852617435667744,0.0988625,0.101325
0.1,0.1,0.0,1.0,0.0,0.0,0,unit_total_var,0.09063291139240506,0.9265690613694664,1.0,0.9265690659438452,0.9265690613694664,2.14406845611137e-08,9.510997145412148e-07,0.014644976546664941,0.01580559632006243,0.06864283264993458,0.29852617435667744,0.0988625,0.101325
