rho_pt,rho_ft,omega,c_pt,lambda_pt,gamma_reinit,seed,ft_teacher_norm,alpha,mse_best,active_best,mse_fwd,mse_bwd,diff_db,fp_residual,mse_se,mse_rel_se,mse_se_db,reliability_score_db,rho_pt_emp,rho_ft_emp,experiment
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.01,1.0294515162493412,0.99955,1.0294515162493412,1.029451516273679,1.0267409145114924e-10,9.816451722599595e-07,0.0167104156312082,0.0162323483597267,0.0704961932096064,0.2979288222288722,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.0162025316455696,1.0441704715842124,0.999625,1.0441704715842124,1.0441704882831346,6.945465250152162e-08,7.475470340523316e-07,0.0166075154268789,0.0159049847499346,0.0690744711165199,0.2979288222288722,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.0224050632911392,1.0617276428913065,0.9996375,1.0617276436377556,1.0617276428913065,3.0533144346200913e-09,9.98193804946368e-07,0.0167527800335044,0.0157787923726683,0.0685264245854696,0.2979288222288722,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.0286075949367088,1.0806408404914318,0.9997,1.080640859984891,1.0806408404914318,7.83414916272207e-08,8.683248253760212e-07,0.0170459062051976,0.01577388672211,0.0685051196157935,0.2979288222288722,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.0348101265822784,1.097803829736654,0.999725,1.0978038940572252,1.097803829736654,2.544540975701892e-07,7.240278740994199e-07,0.0173621693078018,0.015815365949276,0.0686852616105116,0.2979288222288722,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.0410126582278481,1.1083269548458528,0.99975,1.1083270081105905,1.1083269548458528,2.0871621880802493e-07,9.60650652359618e-07,0.0175557231664296,0.0158398413840537,0.068791557073173,0.2979288222288722,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.0472151898734177,1.1082044687692254,0.99975,1.108204471496942,1.1082044687692254,1.0689653828777068e-08,8.263756932080923e-07,0.0175160239410624,0.0158057690928784,0.0686435829927409,0.2979288222288722,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.0534177215189873,1.0968900598265157,0.999825,1.0968900598265157,1.0968901094503851,1.964770488527279e-07,8.393591635069696e-07,0.0172286311884953,0.0157067985384244,0.0682137593360378,0.2979288222288722,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.0596202531645569,1.076551260620847,0.9998,1.0765512995582818,1.076551260620847,1.5707856554358912e-07,9.692223841284429e-07,0.0167580904990702,0.0155664584790935,0.067604270202464,0.2979288222288722,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.0658227848101265,1.0500019318977991,0.9998375,1.0500019835097487,1.0500019318977991,2.134737449310809e-07,9.162976546406296e-07,0.0161836203845414,0.0154129434364856,0.0669375628435264,0.2979288222288722,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.0720253164556962,1.0195713811589693,0.9998375,1.0195714489801293,1.0195713811589693,2.888895776903544e-07,9.253926958052716e-07,0.0155624463075096,0.0152637143363317,0.0662894690961641,0.2979288222288722,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.0782278481012658,0.9869002926030852,0.99985,0.9869003731002048,0.9869002926030852,3.542349075666419e-07,9.785055805622278e-07,0.0149282218440129,0.0151263729030191,0.0656930028299209,0.2979288222288722,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.0844303797468354,0.953069031922778,0.999875,0.953069126473064,0.953069031922778,4.3084670714454987e-07,9.681701609309812e-07,0.0142994675879846,0.0150036011128554,0.0651598117199062,0.2979288222288722,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.090632911392405,0.9187611988056156,0.999875,0.9187613134765624,0.9187611988056156,5.420446189674522e-07,9.30840078794404e-07,0.013685418613297,0.0148955121647366,0.0646903873826787,0.2979288222288722,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.0968354430379746,0.8843961718186969,0.9998625,0.8843962971842955,0.8843961718186969,6.156243723687281e-07,8.877277810626083e-07,0.0130890620958031,0.0147999985898699,0.0642755771975644,0.2979288222288722,0.0989125,0.101325,exp1
