rho_pt,rho_ft,omega,c_pt,lambda_pt,gamma_reinit,seed,ft_teacher_norm,alpha,mse_best,active_best,mse_fwd,mse_bwd,diff_db,fp_residual,mse_se,mse_rel_se,mse_se_db,reliability_score_db,rho_pt_emp,rho_ft_emp
0.1,0.1,0.0,0.001,0.0,0.0,0,unit_total_var,0.01,1.132092070287929,0.9995625,1.132092070287929,1.1320920706974795,1.5711236756033033e-09,8.030896623267836e-07,0.01789218140597218,0.015804528514559425,0.06863819522955754,0.2963381598136007,0.0988625,0.101325
0.1,0.1,0.0,0.001,0.0,0.0,0,unit_total_var,0.016202531645569618,1.2193215477795087,0.9996,1.2193215676517684,1.2193215477795087,7.078044872432798e-08,5.930562423372975e-07,0.018230764657192883,0.014951564409234546,0.06493381918751616,0.2963381598136007,0.0988625,0.101325
0.1,0.1,0.0,0.001,0.0,0.0,0,unit_total_var,0.02240506329113924,1.3141814981065094,0.999675,1.3141814981329676,1.3141814981065094,8.74356143043542e-11,9.896401635955956e-07,0.0188206008706928,0.014321157996676853,0.06219599892421384,0.2963381598136007,0.0988625,0.101325
0.1,0.1,0.0,0.001,0.0,0.0,0,unit_total_var,0.028607594936708863,1.4108871981578193,0.999675,1.4108871981578193,1.4108872118860567,4.225779259847683e-08,9.557842730600894e-07,0.019570373832269877,0.013870969881803951,0.060240856783136565,0.2963381598136007,0.0988625,0.101325
0.1,0.1,0.0,0.001,0.0,0.0,0,unit_total_var,0.03481012658227848,1.4987060950016713,0.9997375,1.4987060950016713,1.4987061161305881,6.122729390156678e-08,7.979514933253995e-07,0.020302785843879515,0.013546876143088532,0.05883333555970155,0.2963381598136007,0.0988625,0.101325
0.1,0.1,0.0,0.001,0.0,0.0,0,unit_total_var,0.0410126582278481,1.5656251383808009,0.9997375,1.5656251383808009,1.565625145663768,2.020248879297526e-08,8.741481138940798e-07,0.02080638763345146,0.01328950789265547,0.05771559944989981,0.2963381598136007,0.0988625,0.101325
0.1,0.1,0.0,0.001,0.0,0.0,0,unit_total_var,0.047215189873417725,1.6063992567493,0.999825,1.6063993929794431,1.6063992567493,3.6830194360959467e-07,9.748132541176346e-07,0.020975924302885026,0.013057727843656865,0.05670899148694623,0.2963381598136007,0.0988625,0.101325
0.1,0.1,0.0,0.001,0.0,0.0,0,unit_total_var,0.05341772151898734,1.6237982405178348,0.999825,1.6237982492200478,1.6237982405178348,2.3274584926014086e-08,7.903462275749006e-07,0.02084949922690829,0.01283995677951918,0.055763223772214265,0.2963381598136007,0.0988625,0.101325
0.1,0.1,0.0,0.001,0.0,0.0,0,unit_total_var,0.05962025316455696,1.6237251493594005,0.9998375,1.6237251573646068,1.6237251493594005,2.1411364237167163e-08,7.747215100550875e-07,0.020525183857298856,0.012640799377527994,0.054898294165064684,0.2963381598136007,0.0988625,0.101325
0.1,0.1,0.0,0.001,0.0,0.0,0,unit_total_var,0.06582278481012659,1.611641218363259,0.999825,1.6116412487220797,1.611641218363259,8.180895427756242e-08,9.70943119682488e-07,0.02008934501250044,0.012465147195045469,0.054135446429200436,0.2963381598136007,0.0988625,0.101325
0.1,0.1,0.0,0.001,0.0,0.0,0,unit_total_var,0.0720253164556962,1.5915780224926706,0.99985,1.59157806175512,1.5915780224926706,1.0713558928898693e-07,8.514784965996114e-07,0.0195969845898865,0.012312927367013041,0.053474364115692966,0.2963381598136007,0.0988625,0.101325
0.1,0.1,0.0,0.001,0.0,0.0,0,unit_total_var,0.07822784810126583,1.5662796325382966,0.999875,1.5662796860246069,1.5662796325382966,1.4830563221934767e-07,9.02587220963369e-07,0.019078381306091723,0.01218069935262677,0.05290010514568317,0.2963381598136007,0.0988625,0.101325
0.1,0.1,0.0,0.001,0.0,0.0,0,unit_total_var,0.08443037974683544,1.5375651217214488,0.9998625,1.5375651832674784,1.5375651217214488,1.7384044515011965e-07,8.560601045815018e-07,0.018549358726414125,0.012064112579274934,0.052393775222387085,0.2963381598136007,0.0988625,0.101325
0.1,0.1,0.0,0.001,0.0,0.0,0,unit_total_var,0.09063291139240506,1.5066324572285832,0.9998625,1.506632535791902,1.5066324572285832,2.264627643189243e-07,9.29418117578962e-07,0.0180183145299637,0.011959329857467688,0.05193870964359019,0.2963381598136007,0.0988625,0.101325
0.1,0.1,0.0,0.001,0.0,0.0,0,unit_total_var,0.09683544303797467,1.4742697555402868,0.999875,1.47426984229255,1.4742697555402868,2.555572202744827e-07,9.742306090743114e-07,0.017490244135195367,0.011863666109589006,0.05152324726537124,0.2963381598136007,0.0988625,0.101325
0.1,0.1,0.0,0.001,0.0,0.0,0,unit_total_var,0.1030379746835443,1.4409973165185623,0.9998875,1.4409974162047663,1.4409973165185623,3.004389133032248e-07,9.62715477115239e-07,0.016968827979021404,0.011775752657206852,0.0511414439928249,0.2963381598136007,0.0988625,0.101325
0.1,0.1,0.0,0.001,0.0,0.0,0,unit_total_var,0.10924050632911393,1.4071632701713597,0.9998875,1.4071632701713597,1.4071632718631613,5.22142751258059e-09,8.870774923508406e-07,0.016457261965350158,0.011695346456382457,0.050792244299536514,0.2994334822886984,0.0988625,0.101325
