alpha,mse
0.008,0.9361289126359412
0.028244897959183675,0.9290702606975341
0.04848979591836735,0.9140176293463773
0.06873469387755102,0.8980633359093528
0.0889795918367347,0.8853281502794406
0.10922448979591837,0.8768187884273136
0.12946938775510206,0.8718204515968384
0.14971428571428574,0.8669117801245718
0.1699591836734694,0.8555694600305551
0.19020408163265307,0.8318709705697894
0.21044897959183675,0.7949397002360373
0.23069387755102044,0.7471975243579009
0.2509387755102041,0.6907191716761653
0.27118367346938776,0.626954672490456
0.2914285714285715,0.557891784130293
0.31167346938775514,0.48682511415689866
0.3319183673469388,0.41715653219915694
0.35216326530612246,0.35120687589924976
0.3724081632653061,0.29069672698467514
0.39265306122448984,0.23686462920418389
0.4128979591836735,0.19011500010327959
0.43314285714285716,0.15002176581043683
0.4533877551020409,0.11607726966790123
0.47363265306122454,0.0879810841078965
0.4938775510204082,0.06523379824386931
0.5141224489795919,0.047181852034159005
0.5343673469387755,0.03310859089158245
0.5546122448979592,0.02237952064097358
0.574857142857143,0.014455948753978286
0.5951020408163266,0.008870992636087802
0.6153469387755103,0.0051485835088828
0.6355918367346939,0.0028266291600629423
0.6558367346938776,0.0014824351586975237
0.6760816326530613,0.0007572882655962479
0.6963265306122449,0.0003869706597227254
0.7165714285714286,0.000202104264748647
0.7368163265306122,0.0001091689865398232
0.757061224489796,6.120068299708602e-05
0.7773061224489797,3.55414162211372e-05
0.7975510204081633,2.1281225220555264e-05
0.817795918367347,1.3059020779972395e-05
0.8380408163265307,8.15664572877478e-06
0.8582857142857143,5.146355663893361e-06
0.878530612244898,3.2510019938991316e-06
0.8987755102040818,2.032973161735614e-06
0.9190204081632654,1.2381025103632211e-06
0.9392653061224491,7.148636612649233e-07
0.9595102040816327,3.717685755342374e-07
0.9797551020408164,1.5639018567302419e-07
1.0,4.575144652379955e-08
