alpha,mse
0.008,0.9635561903884078
0.028244897959183675,0.9072884967826532
0.04848979591836735,0.8000323066686096
0.06873469387755102,0.6659033210079136
0.0889795918367347,0.5312242174381272
0.10922448979591837,0.4032896467761906
0.12946938775510206,0.2920059817355957
0.14971428571428574,0.20121933884842616
0.1699591836734694,0.13023478085681
0.19020408163265307,0.0797418235012364
0.21044897959183675,0.046549106197128154
0.23069387755102044,0.026033119755088846
0.2509387755102041,0.014112254329071499
0.27118367346938776,0.007523331239741525
0.2914285714285715,0.004095930954045546
0.31167346938775514,0.0023155644190724846
0.3319183673469388,0.0013635054214006781
0.35216326530612246,0.0008351307746346969
0.3724081632653061,0.0005302121321785753
0.39265306122448984,0.00034783111761648176
0.4128979591836735,0.0002349942520373456
0.43314285714285716,0.00016296427721312318
0.4533877551020409,0.0001156504874212499
0.47363265306122454,8.375720321128908e-05
0.4938775510204082,6.175133588636293e-05
0.5141224489795919,4.624560223731387e-05
0.5343673469387755,3.511160653734754e-05
0.5546122448979592,2.697948054317732e-05
0.574857142857143,2.094790183523567e-05
0.5951020408163266,1.641171492690974e-05
0.6153469387755103,1.2956996809420816e-05
0.6355918367346939,1.0295753658856989e-05
0.6558367346938776,8.224436458243809e-06
0.6760816326530613,6.597080613738932e-06
0.6963265306122449,5.307606840789164e-06
0.7165714285714286,4.277961442787738e-06
0.7368163265306122,3.4500499975571516e-06
0.757061224489796,2.7801719317916412e-06
0.7773061224489797,2.2351284220163392e-06
0.7975510204081633,1.7894675959658747e-06
0.817795918367347,1.4235128045761557e-06
0.8380408163265307,1.121937160293105e-06
0.8582857142857143,8.727244806779539e-07
0.878530612244898,6.664107892828576e-07
0.8987755102040818,4.955397311451373e-07
0.9190204081632654,3.543025464406547e-07
0.9392653061224491,2.3840315791958996e-07
0.9595102040816327,1.4534406678960404e-07
0.9797551020408164,7.545628761172376e-08
1.0,3.1744208144818497e-08
