alpha,mse
0.008,0.774847298947776
0.028244897959183675,0.3708858297766933
0.04848979591836735,0.12980270064739297
0.06873469387755102,0.02992294804403465
0.0889795918367347,0.0049575225444427945
0.10922448979591837,0.0010156431413869695
0.12946938775510206,0.00031286598993888364
0.14971428571428574,0.00012965717869290158
0.1699591836734694,6.519049569819739e-05
0.19020408163265307,3.730822913812245e-05
0.21044897959183675,2.3377170183231832e-05
0.23069387755102044,1.5648382362952227e-05
0.2509387755102041,1.1009538214536602e-05
0.27118367346938776,8.05041238609371e-06
0.2914285714285715,6.0692795145655254e-06
0.31167346938775514,4.689920811672947e-06
0.3319183673469388,3.6980164851437584e-06
0.35216326530612246,2.9651859498628866e-06
0.3724081632653061,2.411211254462296e-06
0.39265306122448984,1.984134061773206e-06
0.4128979591836735,1.6492423245486502e-06
0.43314285714285716,1.3827134259751441e-06
0.4533877551020409,1.1678076749380866e-06
0.47363265306122454,9.925147210266934e-07
0.4938775510204082,8.480560584595008e-07
0.5141224489795919,7.279080900099303e-07
0.5343673469387755,6.271499365719391e-07
0.5546122448979592,5.420192203748984e-07
0.574857142857143,4.696038649068514e-07
0.5951020408163266,4.0762458226850806e-07
0.6153469387755103,3.5427898159329653e-07
0.6355918367346939,3.0812832030480506e-07
0.6558367346938776,2.680141960856654e-07
0.6760816326530613,2.3299639247181225e-07
0.6963265306122449,2.0230613112253307e-07
0.7165714285714286,1.7531049150473344e-07
0.7368163265306122,1.5148508909662842e-07
0.757061224489796,1.303929477138145e-07
0.7773061224489797,1.1166788994924343e-07
0.7975510204081633,9.500171057775933e-08
0.817795918367347,8.013389282509322e-08
0.8380408163265307,6.68436264580999e-08
0.8582857142857143,5.494368020429552e-08
0.878530612244898,4.427612491031932e-08
0.8987755102040818,3.471036704059917e-08
0.9190204081632654,2.6145626716095317e-08
0.9392653061224491,1.852467128796583e-08
0.9595102040816327,1.1880643062288579e-08
0.9797551020408164,6.462379152320663e-09
1.0,2.810511001735847e-09
