alpha,mse
0.008,0.9590302977627752
0.01802020202020202,0.9490905941974519
0.02804040404040404,0.9383299554238984
0.03806060606060606,0.9264365140134163
0.04808080808080808,0.9131745198649254
0.0581010101010101,0.8983980682978627
0.06812121212121211,0.8820527490817351
0.07814141414141415,0.8641669174104686
0.08816161616161616,0.8448356476202599
0.09818181818181818,0.8242021589057829
0.10820202020202019,0.8024404218470286
0.11822222222222223,0.7797406168950848
0.12824242424242424,0.7562977225082391
0.13826262626262625,0.7323029659773711
0.1482828282828283,0.707937756328838
0.1583030303030303,0.683369710354523
0.16832323232323232,0.6587503788141119
0.17834343434343433,0.6342142855495608
0.18836363636363634,0.6098789221670418
0.19838383838383838,0.585845392863186
0.2084040404040404,0.5621994658465913
0.2184242424242424,0.5390128480768553
0.22844444444444445,0.5163445520085183
0.23846464646464646,0.49424226435103324
0.24848484848484848,0.47274365816966885
0.2585050505050505,0.4518776130184016
0.2685252525252525,0.431665325019207
0.27854545454545454,0.41212130127374685
0.2885656565656566,0.3932542418620431
0.29858585858585857,0.37506781821601465
0.3086060606060606,0.3575613596701632
0.3186262626262626,0.34073046066806767
0.32864646464646463,0.32456752047890836
0.33866666666666667,0.30906222550095397
0.34868686868686866,0.29420198224500516
0.3587070707070707,0.27997230687767183
0.3687272727272727,0.2663571755984407
0.3787474747474747,0.25333933879829534
0.38876767676767676,0.24090060122007137
0.39878787878787875,0.22902207017619944
0.4088080808080808,0.21768437374169844
0.4188282828282828,0.2068678511856106
0.4288484848484848,0.19655271797278875
0.43886868686868685,0.18671920773091985
0.4488888888888889,0.17734769365151792
0.4589090909090909,0.168418791430606
0.4689292929292929,0.15991344585812006
0.4789494949494949,0.15181300276037332
0.48896969696969694,0.1440992679826592
0.498989898989899,0.13675455462455335
0.509010101010101,0.12976171994545224
0.519030303030303,0.12310419301248361
0.529050505050505,0.11676599408572078
0.539070707070707,0.1107317468753235
0.5490909090909091,0.10498668449730923
0.5591111111111111,0.09951665005729589
0.5691313131313132,0.09430809262416193
0.5791515151515151,0.08934805946459536
0.5891717171717171,0.08462418501971622
0.5991919191919192,0.0801246774663802
0.6092121212121212,0.07583830316352767
0.6192323232323232,0.07175436965743194
0.6292525252525252,0.06786270748014799
0.6392727272727272,0.06415365125424088
0.6492929292929293,0.06061802019565087
0.6593131313131313,0.05724709844943234
0.6693333333333333,0.05403261533860923
0.6793535353535353,0.05096672574705761
0.6893737373737373,0.048041990724396216
0.6993939393939393,0.04525135851012144
0.7094141414141414,0.04258814594517423
0.7194343434343434,0.040046020458477195
0.7294545454545454,0.037618982601571864
0.7394747474747474,0.03530134917768588
0.7494949494949494,0.033087737025204546
0.7595151515151515,0.03097304749164429
0.7695353535353535,0.028952451486530105
0.7795555555555556,0.027021375323096525
0.7895757575757575,0.02517548714731062
0.7995959595959595,0.023410684084249685
0.8096161616161616,0.02172308006163034
0.8196363636363636,0.020108994289568253
0.8296565656565656,0.018564940447650627
0.8396767676767676,0.017087616619313042
0.8496969696969696,0.015673895915975886
0.8597171717171717,0.014320818016187538
0.8697373737373737,0.013025581674299512
0.8797575757575757,0.011785538558154849
0.8897777777777778,0.010598188900889817
0.8997979797979797,0.009461179927548712
0.9098181818181817,0.008372309147222725
0.9198383838383838,0.007329536424157306
0.9298585858585858,0.006331013940995397
0.9398787878787879,0.005375155191728039
0.9498989898989898,0.0044608074782079635
0.9599191919191918,0.0035877752809747544
0.9699393939393939,0.0027578986862318773
0.9799595959595959,0.0017394682660708204
0.989979797979798,5.3143860288322306e-05
1.0,3.4219191721849346e-07
