alpha,mse
0.008,1.0294933269530442
0.01802020202020202,1.0414236351635986
0.02804040404040404,1.0464959124481161
0.03806060606060606,1.0479131071571792
0.04808080808080808,1.046937238462743
0.0581010101010101,1.0442472129903595
0.06812121212121211,1.0402606041168367
0.07814141414141415,1.0352553160008615
0.08816161616161616,1.0294266244150097
0.09818181818181818,1.0229159829566137
0.10820202020202019,1.015826903967076
0.11822222222222223,1.008235355148174
0.12824242424242424,1.0001977488262273
0.13826262626262625,0.9917573736550948
0.1482828282828283,0.9829493166889129
0.1583030303030303,0.9738038756175578
0.16832323232323232,0.9643486594836286
0.17834343434343433,0.9546096997034283
0.18836363636363634,0.9446118613913863
0.19838383838383838,0.9343787777127638
0.2084040404040404,0.9239325228030446
0.2184242424242424,0.913293245325649
0.22844444444444445,0.9024789385419298
0.23846464646464646,0.8915054332311828
0.24848484848484848,0.8803866101090893
0.2585050505050505,0.8691347643526236
0.2685252525252525,0.8577610203797145
0.27854545454545454,0.8462756835355018
0.2885656565656566,0.8346884229488098
0.29858585858585857,0.8230082201433765
0.3086060606060606,0.8112431082318703
0.3186262626262626,0.7993998355942757
0.32864646464646463,0.7874836369429156
0.33866666666666667,0.7754982392520899
0.34868686868686866,0.7634461046717003
0.3587070707070707,0.7513288017458255
0.3687272727272727,0.7391473760922247
0.3787474747474747,0.7269026588675251
0.38876767676767676,0.7145955210584495
0.39878787878787875,0.702227086245214
0.4088080808080808,0.689798865375978
0.4188282828282828,0.6773127512674757
0.4288484848484848,0.6647708655588338
0.43886868686868685,0.6521753488216763
0.4488888888888889,0.6395282312821546
0.4589090909090909,0.6268314540864489
0.4689292929292929,0.6140869783410714
0.4789494949494949,0.6012968874541091
0.48896969696969694,0.5884634858221902
0.498989898989899,0.5755894444676295
0.509010101010101,0.5626779846533065
0.519030303030303,0.5497330405814912
0.529050505050505,0.5367592962376261
0.539070707070707,0.5237618931498936
0.5490909090909091,0.5107456579518955
0.5591111111111111,0.4977139851625976
0.5691313131313132,0.4846677475901015
0.5791515151515151,0.47160475537831476
0.5891717171717171,0.45852039179121973
0.5991919191919192,0.44540948441882167
0.6092121212121212,0.4322684497317922
0.6192323232323232,0.4190966035302764
0.6292525252525252,0.4058959836674208
0.6392727272727272,0.39267015879980854
0.6492929292929293,0.3794235736278333
0.6593131313131313,0.3661618966758921
0.6693333333333333,0.35289245200351327
0.6793535353535353,0.3396249608232813
0.6893737373737373,0.3263723538836493
0.6993939393939393,0.3131496138369331
0.7094141414141414,0.2999692765499571
0.7194343434343434,0.2868356677975364
0.7294545454545454,0.2737458342535835
0.7394747474747474,0.26069757987998604
0.7494949494949494,0.24769509572416465
0.7595151515151515,0.2347488742325066
0.7695353535353535,0.2218685905623368
0.7795555555555556,0.20906373356986793
0.7895757575757575,0.1963472055803657
0.7995959595959595,0.1837190780016168
0.8096161616161616,0.17115933736293465
0.8196363636363636,0.15865908499184236
0.8296565656565656,0.14622477565709577
0.8396767676767676,0.13387396142249675
0.8496969696969696,0.12161422369687491
0.8597171717171717,0.10949846837180756
0.8697373737373737,0.09759900550610642
0.8797575757575757,0.08599060426104084
0.8897777777777778,0.07480131198068608
0.8997979797979797,0.06406049191375747
0.9098181818181817,0.05370828754896602
0.9198383838383838,0.04373245225857417
0.9298585858585858,0.03426801468330259
0.9398787878787879,0.025349041545308256
0.9498989898989898,0.01741543633428801
0.9599191919191918,0.010440204845821584
0.9699393939393939,0.0042773918493339445
0.9799595959595959,0.0005574857688447667
0.989979797979798,2.8058481197591923e-05
1.0,1.498549029466385e-06
