alpha,test_pred_mse_mean,test_pred_mse_median,test_pred_mse_q25,test_pred_mse_q75,test_pred_mse_count,param_mse_mean,param_mse_median,param_mse_q25,param_mse_q75,train_pred_mse_median,success_count,total_count,max_train_pred_mse_all
0.2,0.008944998887659372,0.0072657795722199554,0.006624300897811486,0.008292281959190073,10,0.08869245864267536,0.07249297617379463,0.06538510565664793,0.08173720741102618,9.993651154155134e-06,0,10,9.994872029057934e-06
0.3,0.0002346998266539958,0.0001410724400326329,0.00010391738703723555,0.0002905728030252795,10,0.0023678066749942316,0.001427660968139424,0.001037130266980587,0.002956682834923557,9.999085060584624e-06,0,10,9.999383094865852e-06
0.4,1.5189043792916411e-05,1.1960893873673272e-05,7.839325458087637e-06,1.6877575493909568e-05,10,0.00015233166908387626,0.00012079426766551826,7.731072662307047e-05,0.0001665728615641832,9.99945961111454e-06,0,10,9.999631685919435e-06
0.6,2.7870471621652683e-06,2.742879714257511e-06,2.546931850090052e-06,3.1866438194736273e-06,10,2.7981982191270737e-05,2.7492867443556567e-05,2.5624189635579925e-05,3.200938410992243e-05,9.999270123946693e-06,0,10,9.999466166150863e-06
0.8,1.8228082927234607e-06,1.6974058631580782e-06,1.667788016934136e-06,1.9071792108883069e-06,10,1.8160487679966474e-05,1.7097680495160214e-05,1.6306848283501473e-05,1.9102905619134254e-05,9.998862281107587e-06,0,10,9.999213513011969e-06
1.0,1.5704366791549414e-06,1.5744686708384152e-06,1.4582053504293407e-06,1.6733346208350505e-06,10,1.5731060866176488e-05,1.5795733631371998e-05,1.4882127232448932e-05,1.6547305401401047e-05,9.99615067068094e-06,0,10,9.999171140779913e-06
