alpha,n_train,seed,test_pred_mse,param_mse,train_pred_mse,is_success
0.05,50,0,0.08534374833106995,0.8735103607177734,3.0157416404108517e-06,False
0.05,50,1,0.05604889616370201,0.5600795745849609,2.8252425181563012e-06,False
0.05,50,2,0.12808027863502502,1.3042658567428589,2.5258909772674087e-06,False
0.05,50,3,0.08506656438112259,0.8450216054916382,4.8791289373184554e-06,False
0.05,50,4,0.05086425319314003,0.5058894753456116,4.227173576509813e-06,False
0.05,50,5,0.1277846395969391,1.2649050951004028,4.4959760998608544e-06,False
0.1,100,0,0.07891383022069931,0.8058985471725464,7.879657459852751e-06,False
0.1,100,1,0.051327478140592575,0.5115500688552856,8.613266800239217e-06,False
0.1,100,2,0.10884848982095718,1.111168622970581,7.853714123484679e-06,False
0.1,100,3,0.07701446115970612,0.7697322368621826,8.090555638773367e-06,False
0.1,100,4,0.04625716432929039,0.45865651965141296,8.304236871481407e-06,False
0.1,100,5,0.11278235167264938,1.1279923915863037,8.428441105934326e-06,False
0.15,150,0,0.06978696584701538,0.7083820104598999,9.545323337079026e-06,False
0.15,150,1,0.043432146310806274,0.43403148651123047,9.23128300200915e-06,False
0.15,150,2,0.08570320159196854,0.8693537712097168,9.257027159037534e-06,False
0.15,150,3,0.06931400299072266,0.6929987668991089,9.111960025620647e-06,False
0.15,150,4,0.0402967669069767,0.40090981125831604,9.290797606809065e-06,False
0.15,150,5,0.09261280298233032,0.9246291518211365,9.090514140552841e-06,False
0.2,200,0,0.05915229395031929,0.6039112210273743,9.716840395412873e-06,False
0.2,200,1,0.03881685435771942,0.3895667791366577,9.617475370760076e-06,False
0.2,200,2,0.06734056025743484,0.6849462389945984,9.753907761478331e-06,False
0.2,200,3,0.0554109551012516,0.554378867149353,9.6285684776376e-06,False
0.2,200,4,0.03616807609796524,0.3599125146865845,9.629889063944574e-06,False
0.2,200,5,0.0764189213514328,0.7619643807411194,9.756116014614236e-06,False
0.25,250,0,0.04578128829598427,0.46556881070137024,9.791621778276749e-06,False
0.25,250,1,0.03300159424543381,0.3320824205875397,9.837213838181924e-06,False
0.25,250,2,0.04874204844236374,0.4988580644130707,9.770325959834736e-06,False
0.25,250,3,0.0400666669011116,0.401579350233078,9.806923117139377e-06,False
0.25,250,4,0.028994616121053696,0.289821058511734,9.8220680229133e-06,False
0.25,250,5,0.05766746401786804,0.574209451675415,9.842869076237548e-06,False
0.3,300,0,0.03980813920497894,0.4049830138683319,9.884269275062252e-06,False
0.3,300,1,0.029149135574698448,0.2942773699760437,9.876728654489852e-06,False
0.3,300,2,0.04058351367712021,0.4140368700027466,9.897848940454423e-06,False
0.3,300,3,0.031121190637350082,0.3118560314178467,9.928388863045257e-06,False
0.3,300,4,0.022958487272262573,0.23081795871257782,9.881363439490087e-06,False
0.3,300,5,0.04446522518992424,0.4435484707355499,9.90642911347095e-06,False
0.35,350,0,0.03251628577709198,0.331282377243042,9.923882316797972e-06,False
0.35,350,1,0.02255622111260891,0.22737981379032135,9.934929948940407e-06,False
0.35,350,2,0.03262689337134361,0.3357369303703308,9.927155588229652e-06,False
0.35,350,3,0.023814193904399872,0.2404756098985672,9.944145858753473e-06,False
0.35,350,4,0.018215490505099297,0.18186426162719727,9.920661796058994e-06,False
0.35,350,5,0.03631290793418884,0.3637341856956482,9.920457159751095e-06,False
0.4,400,0,0.02688831463456154,0.27451708912849426,9.963168849935755e-06,False
0.4,400,1,0.01805298961699009,0.18372443318367004,9.95279879134614e-06,False
0.4,400,2,0.02515292726457119,0.25941407680511475,9.968782251235098e-06,False
0.4,400,3,0.01943184807896614,0.19495977461338043,9.969579878088553e-06,False
0.4,400,4,0.0142457140609622,0.1423555314540863,9.954279448720627e-06,False
0.4,400,5,0.030218234285712242,0.3021877110004425,9.948690603778232e-06,False
