alpha,test_pred_mse_mean,test_pred_mse_median,test_pred_mse_q25,test_pred_mse_q75,test_pred_mse_count,param_mse_mean,param_mse_median,param_mse_q25,param_mse_q75,param_mse_mean_db,param_mse_median_db,param_mse_q25_db,param_mse_q75_db,pred_mse_from_param_mean,pred_mse_from_param_median,pred_mse_from_param_q25,pred_mse_from_param_q75,pred_mse_from_param_mean_db,pred_mse_from_param_median_db,pred_mse_from_param_q25_db,pred_mse_from_param_q75_db
0.2,0.0242843481246381,0.0196834811940789,0.0102750544901936,0.0385922701098024,10,0.2433577520772814,0.1984795257449149,0.1038978733122348,0.3873234055936336,-6.137548148991509,-7.022842864555779,-9.8339334193477,-4.119262582087877,0.0243357752077281,0.0198479525744914,0.0103897873312234,0.0387323405593633,-16.137548148991346,-17.02284286455558,-19.833933419347325,-14.119262582087778
0.3,0.0012556285830214,0.0010476796014699,0.0005201313033466,0.001517921074992,10,0.0125433890032581,0.010573633480817,0.005207453854382,0.0151979520451277,-19.01585108914713,-19.75775747838326,-22.833745698440904,-18.18214930175121,0.0012543389003258,0.0010573633480817,0.0005207453854382,0.0015197952045127,-29.01585108914401,-29.75775747837956,-32.8337456984334,-28.18214930174863
0.4,8.595241724830896e-05,9.031362787936814e-05,4.22381717726239e-05,0.000125321019368,10,0.0008626635244581,0.0009142725612036,0.0004281034489394,0.001261840108782,-30.64158564615456,-30.38924313914973,-33.684512733342245,-28.989956722491907,8.626635244581001e-05,9.142725612036e-05,4.2810344893940005e-05,0.0001261840108782,-40.64158564610925,-40.38924313910698,-43.68451273325094,-38.98995672246093
0.6,4.336168797181017e-06,3.850693133244931e-06,3.2790904924695496e-06,5.415917939899373e-06,10,4.337289410614176e-05,3.860671859001741e-05,3.325621582916938e-05,5.453328958537895e-05,-43.62781598076581,-44.133371100148,-44.78127169956394,-42.63338303778035,4.337289410614176e-06,3.860671859001741e-06,3.325621582916938e-06,5.453328958537896e-06,-53.62781597986463,-54.133371099135566,-54.78127169838862,-52.63338303706361
0.8,1.265308247866415e-06,1.1171713936164451e-06,1.0199715916314744e-06,1.5177865577697958e-06,10,1.2631496338144645e-05,1.121829882322345e-05,1.0253532991555405e-05,1.4834222611170844e-05,-48.98545199457256,-49.500729957774894,-49.89126466822957,-48.28735207964647,1.2631496338144645e-06,1.121829882322345e-06,1.0253532991555403e-06,1.4834222611170843e-06,-58.98545199147819,-59.50072995429071,-59.89126466441757,-58.287352077011576
1.024,0.0190121573429109,8.513220279837697e-07,6.381021506740581e-07,0.0351507870201288,10,0.1910835204510931,8.46666875986557e-06,6.445177518799028e-06,0.3571617540530951,-7.187767660363715,-50.722874306785926,-51.90765116354424,-4.471350528433685,0.0191083520451093,8.46666875986557e-07,6.445177518799029e-07,0.0357161754053095,-17.187767660363512,-60.722874302169416,-61.90765115747979,-14.471350528433575
1.5,0.0102334480132582,0.0090677379630505,0.0005287120997081,0.0154116810299455,10,0.1024989087350604,0.0903878733515739,0.0052606037361328,0.1561666633933782,-9.892807583434854,-10.438898315795551,-22.78964410936539,-8.064116685987727,0.010249890873506,0.0090387873351573,0.0005260603736132,0.0156166663393378,-19.89280758343447,-20.43889831579512,-32.789644109357965,-18.06411668598748
