alpha,test_pred_mse_mean,test_pred_mse_median,test_pred_mse_q25,test_pred_mse_q75,test_pred_mse_count,param_mse_mean,param_mse_median,param_mse_q25,param_mse_q75,train_pred_mse_median,success_count,total_count,max_train_pred_mse_all,param_mse_mean_db,param_mse_median_db,param_mse_q25_db,param_mse_q75_db,pred_mse_from_param_mean,pred_mse_from_param_median,pred_mse_from_param_q25,pred_mse_from_param_q75,pred_mse_from_param_mean_db,pred_mse_from_param_median_db,pred_mse_from_param_q25_db,pred_mse_from_param_q75_db
0.05,0.0888647300501664,0.0852051563560962,0.0633033132180571,0.1171744167804718,6,0.892278661330541,0.8592659831047058,0.6313150823116302,1.1670564115047457,3.621457608460332e-06,0,6,4.879128937318456e-06,-0.4949949295730533,-0.6587238085542185,-1.997538351198623,0.6709184885866416,0.0892278661330541,0.0859265983104705,0.063131508231163,0.1167056411504745,-10.494994929573007,-10.658723808554171,-11.997538351198562,-9.329081511413325
0.1,0.0791906292239825,0.0779641456902027,0.0577492238953709,0.1013648249208927,6,0.7974997311830521,0.7878153920173645,0.5760956108570099,1.0348511040210724,8.197396255127387e-06,0,6,8.613266800239217e-06,-0.9826945466041936,-1.0357553837467393,-2.395054335529245,0.1487786732546701,0.0797499731183052,0.0787815392017364,0.0576095610857009,0.1034851104021072,-10.982694546604144,-11.035755383746688,-12.395054335529176,-9.851221326745293
0.15,0.0668576477716366,0.069550484418869,0.0499026104807853,0.0817241426557302,6,0.6717174996932348,0.7006903886795044,0.4987733066082001,0.8291108310222626,9.244155080523342e-06,0,6,9.545323337079026e-06,-1.7281333724365069,-1.54473839652254,-3.0209679718019915,-0.8138741144713229,0.0671717499693234,0.0700690388679504,0.04987733066082,0.0829110831022262,-11.72813337243645,-11.544738396522485,-13.020967971801912,-10.813874114471275
0.2,0.0555512768526872,0.0572816245257854,0.0429653795436024,0.0652934936806559,6,0.5591133336226145,0.5791450440883636,0.4307698011398315,0.6646874845027924,9.673364729678724e-06,0,6,9.756116014614236e-06,-2.525001506501499,-2.372126556878515,-3.657547502627198,-1.7738249854276444,0.0559113333622614,0.0579145044088363,0.0430769801139831,0.0664687484502792,-12.525001506501429,-12.372126556878449,-13.657547502627107,-11.773824985427586
0.25,0.0423756130039691,0.0429239775985479,0.0347678624093532,0.0480018584057688,6,0.4270198593537013,0.4335740804672241,0.3494566529989242,0.4905357509851455,9.814495570026338e-06,0,6,9.842869076237548e-06,-3.695519268317265,-3.629366882928248,-4.566066869594595,-3.093293350938956,0.0427019859353701,0.0433574080467224,0.0349456652998924,0.0490535750985145,-13.695519268317174,-13.629366882928158,-14.566066869594485,-13.093293350938875
0.3,0.0346809485927224,0.0354646649211645,0.0296421493403613,0.0403896700590848,6,0.3499199524521827,0.3584195226430893,0.2986720353364944,0.4117734059691429,9.891059107758338e-06,0,6,9.928388863045257e-06,-4.560312933192287,-4.456083429126646,-5.248054384859088,-3.853417053474341,0.0349919952452182,0.0358419522643089,0.0298672035336494,0.0411773405969142,-14.560312933192174,-14.456083429126537,-15.248054384858955,-13.853417053474246
0.35,0.027673665434122,0.0281652398407459,0.0228707143105566,0.0325992414727807,6,0.2800788631041844,0.2858789935708046,0.2306537628173828,0.3346232920885086,9.925518952513812e-06,0,6,9.944145858753473e-06,-5.527196651271316,-5.438177554900497,-6.370394560459749,-4.75443832430872,0.0280078863104184,0.0285878993570804,0.0230653762817382,0.0334623292088508,-15.527196651271176,-15.438177554900358,-16.37039456045958,-14.754438324308603
0.4,0.0223316713236272,0.0222923876717686,0.0183977042324841,0.0264544677920639,6,0.2261931026975313,0.2271869257092476,0.1865332685410976,0.2707413360476494,9.95872414932819e-06,0,6,9.969579878088553e-06,-6.455206421429754,-6.4361666528367785,-7.292436997518108,-5.674454322719908,0.0226193102697531,0.0227186925709247,0.0186533268541097,0.0270741336047649,-16.45520642142958,-16.436166652836604,-17.292436997517896,-15.674454322719765
0.45,0.0171694870417316,0.0179129070602357,0.0148201866541057,0.0207295701839029,6,0.1737959211071332,0.1797080934047699,0.1504027619957924,0.2105004638433456,9.970505288947606e-06,0,6,9.983149539039005e-06,-7.599604204158395,-7.454323633925235,-8.227441882888044,-6.767469428478666,0.0173795921107133,0.0179708093404769,0.0150402761995792,0.0210500463843345,-17.59960420415817,-17.454323633925018,-18.227441882887785,-16.76746942847848
0.5,0.0135574460340042,0.0140730333514511,0.0118161719292402,0.0158957010135054,6,0.1369657218456268,0.1411709412932396,0.1190201491117477,0.1617039367556572,9.982219125959093e-06,0,6,9.989003046939615e-06,-8.633881093106423,-8.502546895077662,-9.243795099746936,-7.912794068688188,0.0136965721845626,0.0141170941293239,0.0119020149111747,0.0161703936755657,-18.633881093106137,-18.502546895077387,-19.24379509974661,-17.912794068687948
