alpha,n_train,seed,test_pred_mse,param_mse,train_pred_mse,is_success
0.2,200,0,0.025675421420173903,0.2536632531592878,9.987069732525597e-06,False
0.2,200,1,0.008454592197113428,0.08351281903698854,9.993285423054502e-06,False
0.2,200,2,0.006864146818255104,0.06861220233150238,9.991482636014072e-06,False
0.2,200,3,0.006747603359421171,0.06837485265200527,9.99430421123274e-06,False
0.2,200,4,0.002244989169020338,0.02244016379012284,9.994872029057934e-06,False
0.2,200,5,0.006583200077274924,0.06438852332486215,9.992027195541573e-06,False
0.2,200,6,0.00780535124542001,0.0763737500160869,9.99474470585307e-06,False
0.2,200,7,0.007667412326184807,0.07641037253313909,9.994163076922188e-06,False
0.2,200,8,0.0027529043681873405,0.028212239185400605,9.994016885255766e-06,False
0.2,200,9,0.014654367895542688,0.14493641039735813,9.988919930692972e-06,False
0.3,300,0,0.0009002015350224584,0.009114443725800003,9.998715553135538e-06,False
0.3,300,1,0.00033328887163195834,0.00332274085823429,9.998694944624351e-06,False
0.3,300,2,0.00011220470762943802,0.001140160912429039,9.999151148244933e-06,False
0.3,300,3,0.00016324649468411713,0.0016318241001272837,9.999167081874561e-06,False
0.3,300,4,3.794977613714463e-05,0.00038098777354157726,9.999119718584388e-06,False
0.3,300,5,0.00010115494683983473,0.0010027867184977696,9.999025276977069e-06,False
0.3,300,6,5.8350142580309296e-05,0.0005569424039737971,9.999383094865852e-06,False
0.3,300,7,0.0002014095038997641,0.002043657961933369,9.999050402584858e-06,False
0.3,300,8,0.00011889838538114868,0.001223497836151564,9.999314032785499e-06,False
0.3,300,9,0.0003202939027337846,0.0032610244592536195,9.99891695385689e-06,False
0.4,400,0,4.315016785860779e-05,0.0004321464222363157,9.999541010126899e-06,False
0.4,400,1,1.7965489585031907e-05,0.00017632044517364642,9.999344765323017e-06,False
0.4,400,2,1.0412367838776836e-05,0.00010591984606863652,9.99928038959146e-06,False
0.4,400,3,1.0612338160694358e-05,0.00010661105021880207,9.999442370553958e-06,False
0.4,400,4,5.8099711776957e-06,5.782377968602867e-05,9.999162950934198e-06,False
0.4,400,5,6.5201330588404e-06,6.443224783401156e-05,9.999476851675122e-06,False
0.4,400,6,6.98164466452457e-06,6.777435347454846e-05,9.999541120702495e-06,False
0.4,400,7,1.3613833220542557e-05,0.00013733011073579352,9.999631685919435e-06,False
0.4,400,8,1.3309449586652184e-05,0.00013497748511223445,9.999581172464591e-06,False
0.4,400,9,2.3515042777797815e-05,0.00023998095029874534,9.999358696902166e-06,False
0.6,600,0,3.274299148260375e-06,3.2984747642367424e-05,9.999389205554567e-06,False
0.6,600,1,3.3511910505963617e-06,3.3545097156828404e-05,9.999384732349576e-06,False
0.6,600,2,2.550744009198907e-06,2.609232837512048e-05,9.999179752812702e-06,False
0.6,600,3,2.6066484662268964e-06,2.59531139707123e-05,9.999181108807447e-06,False
0.6,600,4,2.339984866877598e-06,2.3424181246140744e-05,9.999148131016683e-06,False
0.6,600,5,2.879110962288126e-06,2.8893406511992653e-05,9.999454214845844e-06,False
0.6,600,6,2.0545812056020038e-06,2.034368099618942e-05,9.999187336763917e-06,False
0.6,600,7,2.5456611303871007e-06,2.5514548190535798e-05,9.999466166150863e-06,False
0.6,600,8,2.923677833113384e-06,2.9083293512587444e-05,9.999352911129467e-06,False
0.6,600,9,3.344572949101932e-06,3.39854243102327e-05,9.999179240511089e-06,False
0.8,800,0,2.3002030270164605e-06,2.304966009120417e-05,9.999213513011969e-06,False
0.8,800,1,1.8906952169062661e-06,1.915627042737578e-05,9.999021249815975e-06,False
0.8,800,2,1.7089879244758806e-06,1.7529791187546937e-05,9.997375699333276e-06,False
0.8,800,3,1.912673875548987e-06,1.8942811194409675e-05,9.997129962600355e-06,False
0.8,800,4,1.6672188018702489e-06,1.666556980277349e-05,9.998835810201982e-06,False
0.8,800,5,1.6694956621257969e-06,1.6143214491296257e-05,9.999054353856951e-06,False
0.8,800,6,1.6092481802501407e-06,1.59152902709775e-05,9.994157083612495e-06,False
0.8,800,7,1.628487102460177e-06,1.6230077862142005e-05,9.998738945084267e-06,False
0.8,800,8,1.685823801840276e-06,1.6537159547579874e-05,9.998888752013192e-06,False
0.8,800,9,2.1552493347403718e-06,2.1435031924359075e-05,9.998992588121884e-06,False
1.0,1000,0,1.7215511253224021e-06,1.7609864001618233e-05,9.997884217395408e-06,False
1.0,1000,1,1.6221083207846384e-06,1.6363149107407505e-05,9.999165523672317e-06,False
1.0,1000,2,1.4385121164070533e-06,1.4818348101785305e-05,9.996324166932652e-06,False
1.0,1000,3,1.6697183716647226e-06,1.6583465737626156e-05,9.995977174429225e-06,False
1.0,1000,4,1.4311260176362282e-06,1.4597950949825615e-05,9.98408634241852e-06,False
1.0,1000,5,1.355682090175567e-06,1.3364286190278613e-05,9.99494257664275e-06,False
1.0,1000,6,1.5172850524962028e-06,1.5073464624439813e-05,9.990686844661112e-06,False
1.0,1000,7,1.5268290208921923e-06,1.5228318155336492e-05,9.998901694205489e-06,False
1.0,1000,8,1.6745400372251599e-06,1.6438824392725723e-05,9.995867461577296e-06,False
1.0,1000,9,1.7470146389452463e-06,1.7232937400721404e-05,9.999171140779913e-06,False
